Sate,GDP
Andhra Pradesh,862957
Arunachal Pradesh,24603
Assam,324038
Bihar,557490
Chattisgarh,311660
Goa,77126
Gujarat,1501944
Harayana,734163
Himachal Pradesh,153181
J&K,154830
Jharkand,307581
Karnataka,1535224
Kerala,781653
Madhya Pradesh,809327
Maharastra,NA
Manipur,26249
Meghalaya,34389
Mizoram,22241
Nagaland,27283
Odisha,495840
Punjab,527120
Rajasthan ,924586
Sikkim,26786
Tamil Nadu,1664159
Telangana,861031
Tripura,50398
Uttar Pradesh,1664159
Uttarkhand,245895
West Bengal,1177586
Chandigarh,43227
Delhi,779652
Puducherry,36656
India,18971237
